Country,Country Code,population_total,gdp_ppp_current_intl,trade_pct_gdp,military_expenditure_pct_gdp,co2_tonnes_per_capita,democracy_index,HDI
Thailand,THA,71668011.0,1770790698282.565,136.77474509277076,1.16558115305502,,6.27,0.798
Tajikistan,TJK,10590927.0,57254340774.03449,65.63470103673535,1.22399854323499,,1.83,0.691
Turkmenistan,TKM,7494498.0,152946223418.88663,34.09927380172572,2.9018747506980502,,1.66,0.764
Timor-Leste,TLS,1400638.0,6664784682.185324,89.30059136117615,1.26187058679104,,7.03,0.634
Tonga,TON,104175.0,821375658.6733227,94.13715044318896,,,,0.769
Trinidad and Tobago,TTO,1368333.0,49288895345.51968,,0.886002727343586,,7.09,0.807
Tunisia,TUN,12277109.0,177419626655.9212,104.98956246578474,2.3578511004509,,4.71,0.746
Turkiye,TUR,85518661.0,3757012846422.0137,55.82178445272189,1.5026648858863,,4.26,0.853
Tuvalu,TUV,9646.0,60378318.77760427,,,,,0.689
Tanzania,TZA,68560157.0,280425918025.0248,41.513120720824354,1.15169397926637,,5.2,0.555
Uganda,UGA,50015092.0,163837595822.047,41.46828355303799,1.98205631258922,,4.49,0.582
Ukraine,UKR,37860221.0,656527758167.9938,77.75301133005138,36.6531099379099,,4.9,0.779
Uruguay,URY,3386588.0,123332335624.21902,52.46491678563794,2.00012218742627,,8.67,0.862
United States,USA,340110988.0,29184890000000.1,24.88799169707338,3.3618364855807403,,7.85,0.938
Uzbekistan,UZB,36361859.0,431926264607.8867,60.72744038130208,3.5554825523167,,2.1,0.74
St. Vincent and the Grenadines,VCT,100616.0,2140311608.058118,,,,,0.798
"Venezuela, RB",VEN,28405543.0,506339379526.1178,48.09081352556456,0.5007044976434459,,2.25,0.709
British Virgin Islands,VGB,39471.0,,,,,,
Virgin Islands (U.S.),VIR,104377.0,5248832928.552563,205.62928082191783,,,,
Viet Nam,VNM,100987686.0,1654734391083.385,164.8180712698939,1.8065013887431096,,2.62,0.766
Vanuatu,VUT,327777.0,1180786247.7698858,65.10387753385483,,,,0.621
Samoa,WSM,218019.0,1708678659.258563,83.13166285655367,,,,0.708
"Yemen, Rep.",YEM,40583164.0,92755605479.92072,56.07782272095153,3.9668910882450303,,1.95,0.47
South Africa,ZAF,64007187.0,989390398251.4016,61.70259805757591,0.733136724666569,,7.16,0.741
Zambia,ZMB,21314956.0,90033312819.57716,78.24188704514849,1.30300202080578,,5.73,0.595
Zimbabwe,ZWE,16634373.0,65234986601.47217,52.673013493774576,0.248808250152488,,2.98,0.598
